nasabah_id,nik_terenkripsi,tanggal_lahir,jenis_kelamin,jenis_usaha,pendapatan_bulanan,lama_usaha_tahun,kota,provinsi
NS000001,NIK0000001,1993-07-27,L,Pedagang Pasar,3310000.0,20.0,Bekasi,Jawa Barat
NS000002,NIK0000002,1970-06-08,L,Warung Kelontong,2830000.0,11.0,Solo,Jawa Tengah
NS000003,NIK0000003,1996-03-01,L,Peternakan,9660000.0,13.0,Parepare,Sulawesi Selatan
NS000004,NIK0000004,1971-04-01,L,Kerajinan,6080000.0,17.0,Denpasar,Bali
NS000005,NIK0000005,2002-02-23,L,Kerajinan,,14.0,Kediri,Jawa Timur
NS000006,NIK0000006,1994-05-25,P,Pedagang Pasar,3200000.0,1.0,Gresik,Jawa Timur
NS000007,NIK0000007,1993-02-16,P,LAINNYA,3360000.0,3.0,Semarang,Jawa Tengah
NS000008,NIK0000008,1988-12-05,P,Laundry,3160000.0,9.0,Smg,Jawa Tengah
NS000009,NIK0000009,1973-04-29,P,Perikanan,4940000.0,2.0,makassar,Sulawesi Selatan
NS000010,NIK0000010,1968-11-11,P,Laundry,3520000.0,7.0,Cirebon,Jawa Barat
NS000011,NIK0000011,1970-10-19,P,Pedagang Pasar,10680000.0,7.0,  Surabaya,Jawa Timur
NS000012,NIK0000012,1994-01-17,P,Peternakan,4490000.0,9.0,Gresik,Jawa Timur
NS000013,NIK0000013,1995-05-19,L,Kuliner,3000000.0,11.0,Singaraja,Bali
NS000014,NIK0000014,1995-04-10,L,Kuliner,11930000.0,18.0,Makassar,Sulawesi Selatan
NS000015,NIK0000015,1987-12-11,L,Pertanian,4740000.0,12.0,Gresik,Jawa Timur
NS000016,NIK0000016,1973-07-15,P,Jasa Jahit,6410000.0,1.0,Surabaya,Jawa Timur
NS000017,NIK0000017,1979-06-18,P,Kerajinan,5980000.0,9.0,Kediri,Jawa Timur
NS000018,NIK0000018,1995-09-22,L,Kuliner,5050000.0,5.0,Singaraja,Bali
NS000019,NIK0000019,1970-02-13,L,Warung Kelontong,863460000.0,11.0,Kediri,Jawa Timur
NS000020,NIK0000020,1983-11-24,P,Pertanian,5260000.0,5.0,Makassar,Sulawesi Selatan
NS000021,NIK0000021,1966-08-14,L,Peternakan,7770000.0,18.0,Semarang ,Jawa Tengah
NS000022,NIK0000022,1990-01-06,P,Kerajinan,3960000.0,16.0,Solo,Jawa Tengah
NS000023,NIK0000023,1982-01-15,P,Kerajinan,5580000.0,19.0,Surabaya,Jawa Timur
NS000024,NIK0000024,1975-11-13,L,Kuliner,1860000.0,17.0,Solo,Jawa Tengah
NS000025,NIK0000025,1965-12-13,P,Kerajinan,18050000.0,2.0,Denpasar,Bali
NS000026,NIK0000026,1974-04-07,P,Toko Bangunan,421200000.0,4.0,Makassar,Sulawesi Selatan
NS000027,NIK0000027,1995-06-07,L,Peternakan,2620000.0,21.0,solo,Jawa Tengah
NS000028,NIK0000028,1964-08-06,L,Kuliner,2920000.0,21.0,Kudus,Jawa Tengah
NS000029,NIK0000029,1990-03-27,P,Peternakan,,16.0,Denpasar,Bali
NS000030,NIK0000030,1971-08-04,L,Pedagang Pasar,,12.0,Parepare,Sulawesi Selatan
NS000031,NIK0000031,2000-06-21,L,Laundry,3290000.0,21.0,Pematangsiantar,Sumatera Utara
NS000032,NIK0000032,2000-08-02,P,Pedagang Pasar,1328860000.0,4.0,Bandung,Jawa Barat
NS000033,NIK0000033,1989-07-31,P,Perikanan,5087750.0,15.0,Gresik,Jawa Timur
NS000034,NIK0000034,1970-12-08,P,Toko Bangunan,1490000.0,20.0,Parepare,Sulawesi Selatan
NS000035,NIK0000035,1965-09-26,P,Salon,5600000.0,20.0,Solo,Jawa Tengah
NS000036,NIK0000036,2002-03-22,P,Jasa Jahit,3440000.0,13.0,Makassar,Sulawesi Selatan
NS000037,NIK0000037,1995-09-18,L,Tidak Diketahui,,1.0,Cirebon,Jawa Barat
NS000038,NIK0000038,1960-02-07,P,Tidak Diketahui,2960000.0,17.0,Bandung,Jawa Barat
