petugas_id,nama_petugas,cabang_id,tanggal_masuk,status_kepegawaian
PK001,Hendra Wijaya,CB21,2017-11-17,Kontrak
PK002,Ika Safitri,CB12,2017-10-06,Tetap
PK003,Siti Aisyah,CB02,2024-01-01,Kontrak
PK004,Citra Ningrum,CB05,2016-12-25,Kontrak
PK005,Qonita Rahma,CB03,2021-05-19,Tetap
PK006,Lina Marlina,CB04,2015-05-02,Tetap
PK007,Gita Permata,CB04,2021-05-04,Tetap
PK008,Muhammad Rizky,CB03,2022-09-29,Tetap
PK009,Gita Permata,CB04,2022-08-01,Kontrak
PK010,Prasetyo Adi,CB07,2019-04-28,Tetap
PK011,Oscar Pratama,CB14,2015-04-25,Tetap
PK012,Oscar Pratama,CB02,2021-09-18,Kontrak
PK013,Oscar Pratama,CB13,2023-11-03,Tetap
PK014,Tri Handoko,CB02,2018-07-10,Kontrak
PK015,Qonita Rahma,CB20,2023-12-20,Kontrak
PK016,Ika Safitri,CB07,2022-04-17,Kontrak
PK017,Dedi Kurniawan,CB18,2022-12-22,Tetap
PK018,Muhammad Rizky,CB21,2020-03-27,Kontrak
PK019,Hendra Wijaya,CB21,2023-03-27,Kontrak
PK020,Kurnia Sandi,CB17,2018-08-17,Tetap
PK021,Bayu Firmansyah,CB05,2021-05-06,Kontrak
PK022,Rendra Saputra,CB08,2023-12-03,Kontrak
PK023,Fajar Nugraha,CB16,2021-11-03,Kontrak
PK024,Prasetyo Adi,CB12,2019-04-15,Tetap
PK025,Joni Iskandar,CB09,2017-04-18,Kontrak
PK026,Rendra Saputra,CB12,2016-10-13,Tetap
PK027,Bayu Firmansyah,CB04,2018-11-24,Tetap
PK028,Joni Iskandar,CB02,2020-03-04,Kontrak
PK029,Bayu Firmansyah,CB20,2020-10-29,Kontrak
PK030,Rendra Saputra,CB05,2015-11-12,Kontrak
PK031,Kurnia Sandi,CB06,2020-03-18,Kontrak
PK032,Endah Lestari,CB11,2017-01-13,Tetap
PK033,Muhammad Rizky,CB09,2022-07-13,Tetap
PK034,Joni Iskandar,CB14,2018-02-27,Kontrak
PK035,Qonita Rahma,CB18,2020-04-24,Tetap
PK036,Muhammad Rizky,CB13,2023-04-02,Tetap
PK037,Oscar Pratama,CB07,2022-03-01,Kontrak
PK038,Endah Lestari,CB20,2024-02-14,Kontrak
PK039,Qonita Rahma,CB11,2023-01-23,Kontrak
PK040,Nurul Aini,CB07,2021-06-05,Tetap
PK041,Qonita Rahma,CB21,2023-05-07,Kontrak
PK042,Citra Ningrum,CB03,2022-03-10,Kontrak
PK043,Oscar Pratama,CB15,2022-12-24,Kontrak
PK044,Prasetyo Adi,CB02,2023-07-15,Tetap
PK045,Lina Marlina,CB07,2020-02-18,Tetap
PK046,Tri Handoko,CB14,2017-04-23,Kontrak
PK047,Rendra Saputra,CB02,2023-11-14,Kontrak
PK048,Agus Salim,CB10,2022-01-22,Tetap
PK049,Fajar Nugraha,CB05,2019-08-16,Tetap
PK050,Rendra Saputra,CB20,2021-02-13,Kontrak
PK051,Nurul Aini,CB12,2021-07-29,Tetap
PK052,Prasetyo Adi,CB06,2018-07-18,Kontrak
PK053,Kurnia Sandi,CB15,2023-05-29,Tetap
PK054,Nurul Aini,CB07,2016-05-26,Tetap
PK055,Bayu Firmansyah,CB15,2020-02-13,Kontrak
PK056,Bayu Firmansyah,CB16,2022-06-29,Kontrak
PK057,Fajar Nugraha,CB06,2020-01-20,Kontrak
PK058,Nurul Aini,CB11,2019-10-28,Tetap
PK059,Ika Safitri,CB18,2023-05-02,Kontrak
PK060,Citra Ningrum,CB19,2019-11-04,Kontrak
PK061,Dedi Kurniawan,CB09,2024-06-01,Tetap
PK062,Kurnia Sandi,CB08,2018-08-19,Tetap
PK063,Muhammad Rizky,CB07,2017-08-05,Tetap
PK064,Muhammad Rizky,CB11,2018-11-06,Kontrak
PK065,Prasetyo Adi,CB17,2022-11-05,Kontrak
PK066,Prasetyo Adi,CB05,2016-06-07,Kontrak
PK067,Hendra Wijaya,CB22,2024-02-29,Tetap
PK068,Rendra Saputra,CB18,2016-04-24,Tetap
PK069,Gita Permata,CB08,2016-07-19,Tetap
PK070,Nurul Aini,CB21,2018-06-29,Tetap
PK071,Nurul Aini,CB14,2018-11-01,Tetap
PK072,Prasetyo Adi,CB15,2018-05-27,Tetap
PK073,Oscar Pratama,CB22,2023-09-20,Kontrak
PK074,Oscar Pratama,CB15,2018-03-24,Tetap
PK075,Ika Safitri,CB09,2015-08-17,Tetap
PK076,Qonita Rahma,CB13,2020-02-10,Kontrak
PK077,Gita Permata,CB01,2022-04-21,Tetap
PK078,Dedi Kurniawan,CB21,2019-12-14,Kontrak
PK079,Tri Handoko,CB18,2018-07-10,Tetap
PK080,Nurul Aini,CB16,2020-06-17,Tetap
PK081,Prasetyo Adi,CB09,2022-03-27,Tetap
PK082,Dedi Kurniawan,CB12,2015-01-08,Kontrak
PK083,Gita Permata,CB18,2018-07-15,Kontrak
PK084,Rendra Saputra,CB03,2016-10-20,Kontrak
PK085,Fajar Nugraha,CB05,2020-10-30,Kontrak
PK086,Rendra Saputra,CB01,2016-11-03,Kontrak
PK087,Rendra Saputra,CB11,2017-07-09,Tetap
PK088,Hendra Wijaya,CB20,2024-05-11,Tetap
PK089,Bayu Firmansyah,CB01,2015-11-03,Tetap
PK090,Rendra Saputra,CB11,2018-07-20,Tetap
PK091,Muhammad Rizky,CB07,2017-11-16,Tetap
PK092,Agus Salim,CB18,2022-03-02,Tetap
PK093,Tri Handoko,CB16,2021-10-06,Kontrak
PK094,Agus Salim,CB10,2015-04-26,Kontrak
PK095,Muhammad Rizky,CB07,2019-12-20,Kontrak
PK096,Siti Aisyah,CB04,2023-02-08,Tetap
PK097,Siti Aisyah,CB02,2023-04-05,Kontrak
PK098,Siti Aisyah,CB22,2019-12-15,Kontrak
PK099,Tri Handoko,CB11,2020-03-08,Kontrak
PK100,Gita Permata,CB22,2020-12-02,Kontrak
PK101,Siti Aisyah,CB21,2023-03-04,Tetap
PK102,Siti Aisyah,CB08,2018-12-09,Tetap
PK103,Bayu Firmansyah,CB10,2023-10-28,Kontrak
PK104,Fajar Nugraha,CB08,2017-05-23,Kontrak
