pinjaman_id,nasabah_id,produk_id,cabang_id,petugas_id,tanggal_akad,plafon,tenor_bulan,suku_bunga_tahunan,tujuan_penggunaan,status_pinjaman,is_batal,fk_nasabah_valid,fk_petugas_valid,ada_masalah_fk,total_kewajiban_x,total_realisasi_x,total_kewajiban_y,total_realisasi_y,total_kewajiban,total_realisasi,baki_debet,hari_tunggakan_terlama,kolektibilitas,kode_kolektibilitas,tanggal_lahir_x,umur_saat_akad,total_nilai_agunan,rasio_kredit_agunan,nik_terenkripsi,tanggal_lahir_y,jenis_kelamin,jenis_usaha,pendapatan_bulanan,lama_usaha_tahun,kota,provinsi,nik_terenkripsi_dim,tanggal_lahir,jenis_kelamin_dim,jenis_usaha_dim,pendapatan_bulanan_dim,lama_usaha_tahun_dim,kota_dim,provinsi_dim,nik_terenkripsi_dim,tanggal_lahir_dim,jenis_kelamin_dim,jenis_usaha_dim,pendapatan_bulanan_dim,lama_usaha_tahun_dim,kota_dim,provinsi_dim,nama_produk,segmen,plafon_min,plafon_maks,bunga_acuan_tahunan,nama_cabang,kota_cabang,provinsi_cabang,wilayah,tanggal_operasional,nama_petugas,cabang_id_petugas,tanggal_masuk,status_kepegawaian,tanggal,tahun,bulan,nama_bulan,kuartal,hari,hari_dalam_minggu,akhir_pekan,tanggal_waktu,tahun_waktu,bulan_waktu,nama_bulan_waktu,kuartal_waktu,hari_waktu,hari_dalam_minggu_waktu,akhir_pekan_waktu,nik_terenkripsi_nasabah,tanggal_lahir_nasabah,jenis_kelamin_nasabah,jenis_usaha_nasabah,pendapatan_bulanan_nasabah,lama_usaha_tahun_nasabah,kota_nasabah,provinsi_nasabah,nama_produk_produk,segmen_produk,plafon_min_produk,plafon_maks_produk,bunga_acuan_tahunan_produk,nama_produk_produk,segmen_produk,plafon_min_produk,plafon_maks_produk,bunga_acuan_tahunan_produk,nama_cabang_cabang,kota_cabang,provinsi_cabang,wilayah_cabang,tanggal_operasional_cabang,nama_petugas_petugas,cabang_id_petugas,tanggal_masuk_petugas,status_kepegawaian_petugas,is_npl
LN000001,NS003238,PRD03,CB06,PK031,2023-03-10,115500000.0,12,18.52,Modal Kerja,Macet,False,True,True,False,136890600.0,45630200.0,136890600.0,45630200.0,136890600.0,45630200.0,91260400.0,996.0,Macet,5,1971-06-04,51.0,255110000.0,0.45274587432872093,NIK0000582,1971-06-04,P,Jasa Jahit,7190000.0,15.0,Singaraja,Bali,NIK0000582,1971-06-04,P,Jasa Jahit,7190000.0,15.0,Singaraja,Bali,NIK0000582,1971-06-04,P,Jasa Jahit,7190000.0,15.0,Singaraja,Bali,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Bogor,Bogor,Jawa Barat,Wilayah I,2020-03-02,Kurnia Sandi,CB06,2020-03-18,Kontrak,2023-03-10,2023.0,3.0,March,Q1,10.0,Friday,False,2023-03-10,2023.0,3.0,March,Q1,10.0,Friday,False,NIK0000582,1971-06-04,P,Jasa Jahit,7190000.0,15.0,Singaraja,Bali,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Bogor,Bogor,Jawa Barat,Wilayah I,2020-03-02,Kurnia Sandi,CB06,2020-03-18,Kontrak,1
LN000002,NS002316,PRD06,CB11,PK078,2025-02-08,24000000.0,12,20.98,Renovasi Tempat Usaha,Aktif,False,True,True,False,29035200.0,21776400.0,29035200.0,21776400.0,29035200.0,21776400.0,7258800.0,176.0,Diragukan,4,1964-07-05,60.0,,,NIK0002316,1964-07-05,L,Kerajinan,6600000.0,5.0,Kediri,Jawa Timur,NIK0002316,1964-07-05,L,Kerajinan,6600000.0,5.0,Kediri,Jawa Timur,NIK0002316,1964-07-05,L,Kerajinan,6600000.0,5.0,Kediri,Jawa Timur,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Makassar,Makassar,Sulawesi Selatan,Wilayah III,2015-01-21,Dedi Kurniawan,CB21,2019-12-14,Kontrak,2025-02-08,2025.0,2.0,February,Q1,8.0,Saturday,True,2025-02-08,2025.0,2.0,February,Q1,8.0,Saturday,True,NIK0002316,1964-07-05,L,Kerajinan,6600000.0,5.0,Kediri,Jawa Timur,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Makassar,Makassar,Sulawesi Selatan,Wilayah III,2015-01-21,Dedi Kurniawan,CB21,2019-12-14,Kontrak,1
LN000003,NS002844,PRD01,CB18,PK093,2023-10-22,17000000.0,18,23.86,Pembelian Stok,Aktif,False,True,True,False,23084298.0,20519376.0,23084298.0,20519376.0,23084298.0,20519376.0,2564922.0,678.0,Macet,5,1997-01-30,26.0,20400000.0,0.8333333333333334,NIK0002844,1997-01-30,P,Peternakan,7220000.0,12.0,Gresik,Jawa Timur,NIK0002844,1997-01-30,P,Peternakan,7220000.0,12.0,Gresik,Jawa Timur,NIK0002844,1997-01-30,P,Peternakan,7220000.0,12.0,Gresik,Jawa Timur,Kredit Modal Kerja Mikro,Mikro,2000000,25000000,24.0,KC Semarang,Semarang,Jawa Tengah,Wilayah I,2020-02-04,Tri Handoko,CB16,2021-10-06,Kontrak,2023-10-22,2023.0,10.0,October,Q4,22.0,Sunday,True,2023-10-22,2023.0,10.0,October,Q4,22.0,Sunday,True,NIK0002844,1997-01-30,P,Peternakan,7220000.0,12.0,Gresik,Jawa Timur,Kredit Modal Kerja Mikro,Mikro,2000000,25000000,24.0,Kredit Modal Kerja Mikro,Mikro,2000000,25000000,24.0,KC Semarang,Semarang,Jawa Tengah,Wilayah I,2020-02-04,Tri Handoko,CB16,2021-10-06,Kontrak,1
LN000004,NS000925,PRD06,CB13,PK026,2023-11-05,21000000.0,6,23.32,Pembelian Stok,Restrukturisasi,False,True,True,False,23448600.0,7816200.0,23448600.0,7816200.0,23448600.0,7816200.0,15632400.0,757.0,Macet,5,1960-05-07,63.0,30490000.0,0.6887504099704821,NIK0000925,1960-05-07,P,Kuliner,4010000.0,13.0,Magelang,Jawa Tengah,NIK0000925,1960-05-07,P,Kuliner,4010000.0,13.0,Magelang,Jawa Tengah,NIK0000925,1960-05-07,P,Kuliner,4010000.0,13.0,Magelang,Jawa Tengah,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Denpasar,Denpasar,Bali,Wilayah II,2016-11-23,Rendra Saputra,CB12,2016-10-13,Tetap,2023-11-05,2023.0,11.0,November,Q4,5.0,Sunday,True,2023-11-05,2023.0,11.0,November,Q4,5.0,Sunday,True,NIK0000925,1960-05-07,P,Kuliner,4010000.0,13.0,Magelang,Jawa Tengah,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Denpasar,Denpasar,Bali,Wilayah II,2016-11-23,Rendra Saputra,CB12,2016-10-13,Tetap,1
LN000005,NS001595,PRD03,CB19,PK094,2022-12-19,74000000.0,24,18.0,Pembelian Stok,Aktif,False,True,True,False,100639992.0,88059993.0,100639992.0,88059993.0,100639992.0,88059993.0,12579999.0,1077.0,Macet,5,1994-05-26,28.0,,,NIK0001595,1994-05-26,P,Toko Bangunan,13230000.0,9.0,Makassar,Sulawesi Selatan,NIK0001595,1994-05-26,P,Toko Bangunan,13230000.0,9.0,Makassar,Sulawesi Selatan,NIK0001595,1994-05-26,P,Toko Bangunan,13230000.0,9.0,Makassar,Sulawesi Selatan,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Kudus,Kudus,Jawa Tengah,Wilayah I,2014-12-03,Agus Salim,CB10,2015-04-26,Kontrak,2022-12-19,2022.0,12.0,December,Q4,19.0,Monday,False,2022-12-19,2022.0,12.0,December,Q4,19.0,Monday,False,NIK0001595,1994-05-26,P,Toko Bangunan,13230000.0,9.0,Makassar,Sulawesi Selatan,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Kudus,Kudus,Jawa Tengah,Wilayah I,2014-12-03,Agus Salim,CB10,2015-04-26,Kontrak,1
LN000006,NS000719,PRD06,CB15,PK018,2023-12-30,20500000.0,12,23.89,Modal Kerja,Aktif,False,True,True,False,25397448.0,19048086.0,25397448.0,19048086.0,25397448.0,19048086.0,6349362.0,551.0,Macet,5,1975-09-16,48.0,41460000.0,0.4944524843222383,NIK0000719,1975-09-16,P,Kuliner,6490000.0,5.0,KUDUS,Jawa Tengah,NIK0000719,1975-09-16,P,Kuliner,6490000.0,5.0,KUDUS,Jawa Tengah,NIK0000719,1975-09-16,P,Kuliner,6490000.0,5.0,KUDUS,Jawa Tengah,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Makassar,Makassar,Sulawesi Selatan,Wilayah II,2021-12-12,Muhammad Rizky,CB21,2020-03-27,Kontrak,2023-12-30,2023.0,12.0,December,Q4,30.0,Saturday,True,2023-12-30,2023.0,12.0,December,Q4,30.0,Saturday,True,NIK0000719,1975-09-16,P,Kuliner,6490000.0,5.0,KUDUS,Jawa Tengah,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Makassar,Makassar,Sulawesi Selatan,Wilayah II,2021-12-12,Muhammad Rizky,CB21,2020-03-27,Kontrak,1
LN000007,NS001751,PRD03,CB13,PK052,2023-01-15,110000000.0,12,20.88,Pembelian Stok,Aktif,False,True,True,False,132968004.0,121887337.0,132968004.0,121887337.0,132968004.0,121887337.0,11080667.0,1022.0,Macet,5,1972-10-24,50.0,227790.0,482.9009175117433,NIK0001751,1972-10-24,P,Pedagang Pasar,9570000.0,21.0,Surabaya,Jawa Timur,NIK0001751,1972-10-24,P,Pedagang Pasar,9570000.0,21.0,Surabaya,Jawa Timur,NIK0001751,1972-10-24,P,Pedagang Pasar,9570000.0,21.0,Surabaya,Jawa Timur,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Denpasar,Denpasar,Bali,Wilayah II,2016-11-23,Prasetyo Adi,CB06,2018-07-18,Kontrak,2023-01-15,2023.0,1.0,January,Q1,15.0,Sunday,True,2023-01-15,2023.0,1.0,January,Q1,15.0,Sunday,True,NIK0001751,1972-10-24,P,Pedagang Pasar,9570000.0,21.0,Surabaya,Jawa Timur,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Denpasar,Denpasar,Bali,Wilayah II,2016-11-23,Prasetyo Adi,CB06,2018-07-18,Kontrak,1
LN000008,NS001670,PRD05,CB16,PK062,2025-01-10,7500000.0,6,27.69,Modal Kerja,Lunas,False,True,True,False,8538378.0,2846126.0,8538378.0,2846126.0,8538378.0,2846126.0,5692252.0,296.0,Macet,5,1986-03-17,38.0,,,NIK0001670,1986-03-17,P,Kuliner,4030000.0,15.0,Kudus,Jawa Tengah,NIK0001670,1986-03-17,P,Kuliner,4030000.0,15.0,Kudus,Jawa Tengah,NIK0001670,1986-03-17,P,Kuliner,4030000.0,15.0,Kudus,Jawa Tengah,Kredit Kelompok Tanggung Renteng,Ultra Mikro,1000000,10000000,27.0,KC Surabaya,Surabaya,Jawa Timur,Wilayah III,2017-08-15,Kurnia Sandi,CB08,2018-08-19,Tetap,2025-01-10,2025.0,1.0,January,Q1,10.0,Friday,False,2025-01-10,2025.0,1.0,January,Q1,10.0,Friday,False,NIK0001670,1986-03-17,P,Kuliner,4030000.0,15.0,Kudus,Jawa Tengah,Kredit Kelompok Tanggung Renteng,Ultra Mikro,1000000,10000000,27.0,Kredit Kelompok Tanggung Renteng,Ultra Mikro,1000000,10000000,27.0,KC Surabaya,Surabaya,Jawa Timur,Wilayah III,2017-08-15,Kurnia Sandi,CB08,2018-08-19,Tetap,1
LN000009,NS001948,PRD03,CB22,PK039,2023-05-04,74000000.0,12,-18.87,Modal Kerja,Lunas,False,True,True,False,87223800.0,58149200.0,87223800.0,58149200.0,87223800.0,58149200.0,29074600.0,941.0,Macet,5,1989-09-30,33.0,106980000.0,0.6917180781454477,NIK0001948,1989-09-30,P,Perikanan,5770000.0,21.0,Jember,Jawa Timur,NIK0001948,1989-09-30,P,Perikanan,5770000.0,21.0,Jember,Jawa Timur,NIK0001948,1989-09-30,P,Perikanan,5770000.0,21.0,Jember,Jawa Timur,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Makassar,Makassar,Sulawesi Selatan,Wilayah III,2021-04-10,Qonita Rahma,CB11,2023-01-23,Kontrak,2023-05-04,2023.0,5.0,May,Q2,4.0,Thursday,False,2023-05-04,2023.0,5.0,May,Q2,4.0,Thursday,False,NIK0001948,1989-09-30,P,Perikanan,5770000.0,21.0,Jember,Jawa Timur,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,Kredit Usaha Kecil,Kecil,25000000,200000000,18.0,KC Makassar,Makassar,Sulawesi Selatan,Wilayah III,2021-04-10,Qonita Rahma,CB11,2023-01-23,Kontrak,1
LN000010,NS001828,PRD06,CB06,PK084,2024-11-18,5500000.0,6,22.79,Pembelian Stok,Macet,False,True,True,False,6126726.0,1021121.0,6126726.0,1021121.0,6126726.0,1021121.0,5105605.0,378.0,Macet,5,1971-04-11,53.0,,,NIK0001828,1971-04-11,P,Pertanian,8930000.0,16.0,Parepare,Sulawesi Selatan,NIK0001828,1971-04-11,P,Pertanian,8930000.0,16.0,Parepare,Sulawesi Selatan,NIK0001828,1971-04-11,P,Pertanian,8930000.0,16.0,Parepare,Sulawesi Selatan,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Bogor,Bogor,Jawa Barat,Wilayah I,2020-03-02,Rendra Saputra,CB03,2016-10-20,Kontrak,2024-11-18,2024.0,11.0,November,Q4,18.0,Monday,False,2024-11-18,2024.0,11.0,November,Q4,18.0,Monday,False,NIK0001828,1971-04-11,P,Pertanian,8930000.0,16.0,Parepare,Sulawesi Selatan,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,Kredit Multiguna Pedagang,Mikro,2500000,40000000,23.5,KC Bogor,Bogor,Jawa Barat,Wilayah I,2020-03-02,Rendra Saputra,CB03,2016-10-20,Kontrak,1
